//Level,作成物,作成物ID,個数,アイテム１,数,アイテム２,数,…,0 *ゼニーは-1,金額
1,肩1
2,Archangel Wing,20500,1,-1,1000000
2,Brilliant Golden Wings,20727,1,-1,1000000
2,Costume Brilliant Blue Angel Wings,20526,1,-1,1000000
2,Costume Crimson Wings,20525,1,-1,1000000
2,Costume Cupid's Pink Wings,20504,1,-1,1000000
2,Costume Giant Cat Bag,20517,1,-1,1000000
2,Costume Halloween Poring Bag,20543,1,-1,1000000
2,Costume Happiness Wings,20761,1,-1,1000000
2,Costume Little Devil Wings,20502,1,-1,1000000
2,Costume Lucifer's Wings,31737,1,-1,1000000
2,Costume Pink Butterfly Wing,20533,1,-1,1000000
2,Costume Poring Bag,20507,1,-1,1000000
2,Costume Raphael's Wings,20579,1,-1,1000000
2,Costume Santa's Pocket,20592,1,-1,1000000
2,Costume WingOfHeart,20572,1,-1,1000000
2,Costume Wings of Gabriel,20530,1,-1,1000000
2,Costume Wings of Michael,20516,1,-1,1000000
2,Costume beginners red backpack,20595,1,-1,1000000
2,Costume inflatable wings,20577,1,-1,1000000
2,Costume raguel's wings,20578,1,-1,1000000
2,[衣装] でっかリボマント,20594,1,-1,1000000
2,[衣装] にゃんフォーク,20576,1,-1,1000000
2,[衣装] はじけるポリンオーラ,20548,1,-1,1000000
2,[衣装] アミストルリュック,20763,1,-1,1000000
2,[衣装] イビルドルイドの十字架,20590,1,-1,1000000
1,肩2
2,[衣装] イーブルの大鎌,20597,1,-1,1000000
2,[衣装] ウィスパーの祝福,20547,1,-1,1000000
2,[衣装] ウリエルの翼,20509,1,-1,1000000
2,[衣装] エンジェリックリボン,20541,1,-1,1000000
2,[衣装] オオルリアゲハの羽根,20603,1,-1,1000000
2,[衣装] ソードウィング,20510,1,-1,1000000
2,[衣装] デジタル空間,20535,1,-1,1000000
2,[衣装] ニブルブルーム,20588,1,-1,1000000
2,[衣装] フェアリーウィング,20511,1,-1,1000000
2,[衣装] フェアリーウィング(黄),20528,1,-1,1000000
2,[衣装] ベアドールリュック,20582,1,-1,1000000
2,[衣装] ランドセル(黒),20575,1,-1,1000000
2,[衣装] ロリルリの三日月,20586,1,-1,1000000
2,[衣装] 冒険者のリュック,20512,1,-1,1000000
2,[衣装] 堕天使の翼,20764,1,-1,1000000
2,[衣装] 大きなハートチョコ,20570,1,-1,1000000
2,[衣装] 大きな猫じゃらし,20584,1,-1,1000000
2,[衣装] 大きな黒猫,20598,1,-1,1000000
2,[衣装] 大天使の翼,20765,1,-1,1000000
2,[衣装] 大悪魔の翼,20762,1,-1,1000000
2,[衣装] 戦乙女の翼,20571,1,-1,1000000
2,[衣装] 桜の翼,20599,1,-1,1000000
2,[衣装] 氷の翼,20593,1,-1,1000000
2,[衣装] 満開の桜,20519,1,-1,1000000
2,[衣装] 熾天使の翼,20746,1,-1,1000000
1,肩3
2,[衣装] 祝福のリボン,20546,1,-1,1000000
2,[衣装] 絡繰の片羽,20589,1,-1,1000000
2,[衣装] 舞い落ちる赤い紅葉,20537,1,-1,1000000
2,[衣装] 葉っぱ傘,20605,1,-1,1000000
2,[衣装] 虹色の魔法陣,20538,1,-1,1000000
2,[衣装] 輝く天使の翼,20524,1,-1,1000000
2,[衣装] 魔剣士タナトスの剣,20514,1,-1,1000000
2,[衣装] 魔法陣,20515,1,-1,1000000
2,[衣装] 麒麟の翼,20737,1,-1,1000000
